g-sharp-major-ᵐᵃʲ⁹	4-3-5-3-4-3
g-sharp-minor-⁹		4-x-4-4-4-6
g-sharp-major-ᵃᵈᵈ⁹	4-6-x-5-4-6
g-sharp-minor-ᵃᵈᵈ⁹	4-6-6-4-4-6
g-sharp-none-ˢᵘˢ⁴	4-6-6-6-4-4
g-sharp-none-ˢᵘˢ²	x-11-13-13-11-11
a-none-major-none	x-0-2-2-2-0
a-none-minor-none	x-0-2-2-1-0
a-none-none-⁵		5-7-x-x-x-x
a-none-major-⁷		x-0-2-0-2-0
a-none-major-⁷⁺		x-0-2-1-2-0
a-none-minor-⁷		x-0-2-0-1-0
a-none-minor-⁷⁺		5-7-6-5-5-5
a-none-major-⁹		5-4-5-4-5-x
a-none-major-ᵐᵃʲ⁹	5-4-6-4-5-4
a-none-minor-⁹		5-x-5-5-5-7
a-none-major-ᵃᵈᵈ⁹	5-7-x-6-5-7
a-none-minor-ᵃᵈᵈ⁹	5-7-7-5-5-7
a-none-none-ˢᵘˢ⁴	x-0-2-2-3-0
a-none-none-ˢᵘˢ²	x-0-2-2-0-0
a-sharp-major-none	6-8-8-7-6-6
a-sharp-minor-none	6-8-8-6-6-6
a-sharp-none-⁵		6-8-x-x-x-x
a-sharp-major-⁷		6-8-6-7-6-6
a-sharp-major-⁷⁺	6-x-7-7-6-x
a-sharp-minor-⁷		6-8-6-6-6-6
a-sharp-minor-⁷⁺	6-8-7-6-6-6
a-sharp-major-⁹		6-5-6-5-6-x
a-sharp-major-ᵐᵃʲ⁹	6-5-7-5-6-5
a-sharp-minor-⁹		6-x-6-6-6-8
a-sharp-major-ᵃᵈᵈ⁹	6-8-x-7-6-8
a-sharp-minor-ᵃᵈᵈ⁹	6-8-8-6-6-8
a-sharp-none-ˢᵘˢ⁴	6-8-8-8-6-6
a-sharp-none-ˢᵘˢ²	x-1-3-3-1-1
b-none-major-none	x-2-4-4-4-2
b-none-minor-none	7-9-9-7-7-7
b-none-none-⁵		7-9-x-x-x-x
b-none-major-⁷		x-2-1-2-0-2
b-none-major-⁷⁺		7-x-8-8-7-x
b-none-minor-⁷		x-2-0-2-0-2
b-none-minor-⁷⁺		7-9-8-7-7-7
b-none-major-⁹		7-6-7-6-7-x
b-none-major-ᵐᵃʲ⁹	7-6-8-6-7-6
b-none-minor-⁹		7-x-7-7-7-9
b-none-major-ᵃᵈᵈ⁹	7-9-x-8-7-9
b-none-minor-ᵃᵈᵈ⁹	7-9-9-7-7-9
b-none-none-ˢᵘˢ⁴	7-9-9-9-7-7
b-none-none-ˢᵘˢ²	x-2-4-4-2-2
